LexToken(MODULE,'module',1,0)
LexToken(CONSTANT,'Example',1,7)
LexToken(DEF,'def',2,17)
LexToken(SELF,'self',2,21)
LexToken(DOT,'.',2,25)
LexToken(LOCAL_VARIABLE,'calculate',2,26)
LexToken(LOCAL_VARIABLE,'a',3,40)
LexToken(ASSIGN,'=',3,42)
LexToken(INTEGER,10,3,44)
LexToken(LOCAL_VARIABLE,'b',4,51)
LexToken(ASSIGN,'=',4,53)
LexToken(INTEGER,20,4,55)
LexToken(UNLESS,'unless',5,62)
LexToken(LOCAL_VARIABLE,'a',5,69)
LexToken(EQUAL,'==',5,71)
LexToken(LOCAL_VARIABLE,'b',5,74)
LexToken(LOCAL_VARIABLE,'a',6,82)
LexToken(PLUS_ASSIGN,'+=',6,84)
LexToken(INTEGER,1,6,87)
LexToken(LOCAL_VARIABLE,'b',7,95)
LexToken(EXPONENT_ASSIGN,'**=',7,97)
LexToken(INTEGER,2,7,101)
LexToken(LOCAL_VARIABLE,'result',8,109)
LexToken(ASSIGN,'=',8,116)
LexToken(LOCAL_VARIABLE,'a',8,118)
LexToken(MODULO,'%',8,120)
LexToken(LOCAL_VARIABLE,'b',8,122)
LexToken(END,'end',9,128)
LexToken(IF,'if',10,136)
LexToken(LOCAL_VARIABLE,'a',10,139)
LexToken(NOT_EQUAL,'!=',10,141)
LexToken(LOCAL_VARIABLE,'b',10,144)
LexToken(PUTS,'puts',11,152)
LexToken(STRING,'"a is not equal to b"',11,157)
LexToken(END,'end',12,183)
LexToken(LOCAL_VARIABLE,'range_inclusive',13,191)
LexToken(ASSIGN,'=',13,207)
LexToken(FLOAT,1.0,13,209)
LexToken(FLOAT,0.1,13,211)
LexToken(LOCAL_VARIABLE,'range_exclusive',14,219)
LexToken(ASSIGN,'=',14,235)
LexToken(FLOAT,1.0,14,237)
LexToken(RANGE_IN,'..',14,239)
LexToken(INTEGER,10,14,241)
LexToken(IF,'if',15,248)
LexToken(LOCAL_VARIABLE,'range_inclusive',15,251)
LexToken(DOT,'.',15,266)
LexToken(LOCAL_VARIABLE,'include',15,267)
LexToken(LEFT_PAR,'(',15,275)
LexToken(INTEGER,5,15,276)
LexToken(RIGHT_PAR,')',15,277)
LexToken(PUTS,'puts',16,285)
LexToken(STRING,'"5 is in the inclusive range"',16,290)
LexToken(END,'end',17,324)
LexToken(IF,'if',18,332)
LexToken(LOCAL_VARIABLE,'range_exclusive',18,335)
LexToken(DOT,'.',18,350)
LexToken(LOCAL_VARIABLE,'include',18,351)
LexToken(LEFT_PAR,'(',18,359)
LexToken(INTEGER,10,18,360)
LexToken(RIGHT_PAR,')',18,362)
LexToken(PUTS,'puts',19,370)
LexToken(STRING,'"10 is in the exclusive range"',19,375)
LexToken(END,'end',20,410)
LexToken(CASE,'case',21,418)
LexToken(LOCAL_VARIABLE,'result',21,423)
LexToken(WHEN,'when',22,434)
LexToken(INTEGER,0,22,439)
LexToken(PUTS,'puts',23,447)
LexToken(STRING,'"Result is zero"',23,452)
LexToken(ELSE,'else',24,473)
LexToken(PUTS,'puts',25,484)
LexToken(STRING,'"Result is non-zero"',25,489)
LexToken(END,'end',26,514)
LexToken(UNTIL,'until',27,522)
LexToken(LOCAL_VARIABLE,'result',27,528)
LexToken(GREATER_THAN,'>',27,535)
LexToken(INTEGER,1000,27,537)
LexToken(LOCAL_VARIABLE,'result',28,548)
LexToken(MULTIPLY_ASSIGN,'*=',28,555)
LexToken(INTEGER,2,28,558)
LexToken(END,'end',29,564)
LexToken(LOCAL_VARIABLE,'result',30,572)
LexToken(MODULO_ASSIGN,'%=',30,579)
LexToken(INTEGER,3,30,582)
LexToken(PUTS,'puts',31,588)
LexToken(STRING,'"Final result: #{result}"',31,593)
LexToken(END,'end',32,621)
LexToken(DEF,'def',33,627)
LexToken(SELF,'self',33,631)
LexToken(DOT,'.',33,635)
LexToken(LOCAL_VARIABLE,'check_defined',33,636)
LexToken(IF,'if',34,654)
LexToken(LOCAL_VARIABLE,'defined',34,657)
LexToken(LEFT_PAR,'(',34,666)
LexToken(CLASS_VARIABLE,'@@CLASS_VARIABLEiable',34,667)
LexToken(RIGHT_PAR,')',34,688)
LexToken(PUTS,'puts',35,696)
LexToken(STRING,'"Class variable is defined"',35,701)
LexToken(END,'end',36,733)
LexToken(END,'end',37,739)
LexToken(END,'end',38,743)
LexToken(CONSTANT,'Example',39,747)
LexToken(DOT,'.',39,754)
LexToken(LOCAL_VARIABLE,'calculate',39,755)
LexToken(CONSTANT,'Example',40,765)
LexToken(DOT,'.',40,772)
LexToken(LOCAL_VARIABLE,'check_defined',40,773)
